tuple_index,degree,n1,n2,r1,r2,exponent,ell,status,filter_mode,filter_complete,filter_tested,pool_size,filter_failed,subset_coverage_json,subset_tests_total,singular_subsets,minimum_rank_defect,certification_status
21,12,2,6,3,13,39,2,tested_before_stop,exhaustive,True,2,2,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""24"":1},""seed"":6598516975446554135,""selection_sha256"":""c404f23555d8fbfce764f073e54c6d30c3b08c3a499a8c4f9986d1d44d59ee3b"",""singular"":0,""tested"":1,""universe_in_tested_pool"":1}]",1,0,0,algebraically_indicated
22,12,2,6,3,35,105,4,tested_before_stop,exhaustive,True,4,4,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""24"":6},""seed"":2333204633678573918,""selection_sha256"":""a0af5f872bb1d5736a5c53cd1ded6e67cc923e03e91eee2c12751797848542c0"",""singular"":0,""tested"":6,""universe_in_tested_pool"":6}]",6,0,0,algebraically_indicated
23,12,2,6,3,65,195,8,tested_before_stop,exhaustive,True,8,8,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""24"":28},""seed"":5622809266892140867,""selection_sha256"":""bfd92d40c12ef09765c7fb4c03acc1d78916c1ccc3ac60e3829e4b790a1e29c1"",""singular"":0,""tested"":28,""universe_in_tested_pool"":28}]",28,0,0,algebraically_indicated
24,12,2,6,3,91,273,12,tested_before_stop,exhaustive,True,12,12,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""24"":66},""seed"":11939197517854928787,""selection_sha256"":""0793ecfcea9a8e38c9529da6d52393b0d7dd43ed0495e7d832b837d932ed7c96"",""singular"":0,""tested"":66,""universe_in_tested_pool"":66}]",66,0,0,algebraically_indicated
25,12,2,6,3,455,1365,48,tested_before_stop,exhaustive,True,48,48,0,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""24"":1128},""seed"":944183782012429770,""selection_sha256"":""ea9a4610e32a201e9629f8d0e51dda155b5c77e2bb35c1d7e63d3979f04b6079"",""singular"":0,""tested"":1128,""universe_in_tested_pool"":1128}]",1128,0,0,algebraically_indicated
26,12,3,4,5,7,35,2,tested_before_stop,exhaustive,True,2,0,2,[],0,0,0,algebraically_indicated
27,12,3,4,5,9,45,2,tested_before_stop,exhaustive,True,2,0,2,[],0,0,0,algebraically_indicated
28,12,3,4,5,13,65,4,tested_before_stop,exhaustive,True,4,0,4,[],0,0,0,algebraically_indicated
29,12,3,4,5,21,105,4,tested_before_stop,exhaustive,True,4,0,4,[],0,0,0,algebraically_indicated
30,12,3,4,5,39,195,8,tested_before_stop,exhaustive,True,8,0,8,[],0,0,0,algebraically_indicated
31,12,3,4,5,63,315,12,tested_before_stop,exhaustive,True,12,0,12,[],0,0,0,algebraically_indicated
32,12,3,4,5,91,455,24,tested_before_stop,exhaustive,True,24,0,24,[],0,0,0,algebraically_indicated
33,12,3,4,5,117,585,24,tested_before_stop,exhaustive,True,24,16,8,"[{""k"":2,""mode"":""exhaustive"",""rank_histogram"":{""23"":1,""24"":2},""seed"":8587401873626005157,""selection_sha256"":""68159bbded0aff38ab6936c926a8ca75d322cb358fb7a5a465dc68827b54b3ff"",""singular"":1,""tested_before_stop"":3,""universe_in_tested_pool"":120}]",3,1,1,verified_by_brute_force_counterexample
34,12,3,4,5,273,1365,48,not_reached_after_verified_candidate,,,,,,,,,,not_tested
35,12,3,4,5,819,4095,144,not_reached_after_verified_candidate,,,,,,,,,,not_tested
36,12,4,3,5,7,35,2,not_reached_after_verified_candidate,,,,,,,,,,not_tested
